;
Рассказчик;Я поведаю тебе историю, которая заставит тебя задуматься. Она могла затеряться во времени, но всегда будет жить в моем… а может и в твоем сердце.
Рассказчик;Когда-то давно (по мышиным меркам) было королевство. Это было воинствующее королевство, оно отвечало этому жестокому миру той же монетой.
Рассказчик;Королевство захватывало земли, возделывало их и процветало. В один из совершенно обычных дней случилось страшное.
Рассказчик;Возможно жизнь ответила на войны, возможно так просто случилось, но в королевство пришла болезнь.
Рассказчик;Болезнь распространялась быстро и так же быстро она забирала мышей на тот свет. Ее назвали солнечной болезнью. Ведь заболевший умирал проживая последний день от рассвета до заката.
Рассказчик;Но все не могло быть настолько плохо. Даже в самое темное время может появиться тот, кто развеет тьму.
Рассказчик;Был герой, сердце, которого было добрым и чутким к проблемам других мышей. И когда болезнь коснулась короля, он не остался в стороне.
Рассказчик;Описание комнаты короля.
Пренцесса Раденитта;Муск! Я так рада, что ты пришел!
Муск;Я не мог не откликнуться на вашу просьбу!
Пренцесса Раденитта;Моего отца сразила солнечная болезнь! Как только я поняла это, сразу же послала за тобой.
Муск;Но я не лекарь и даже не книжная мышь, я не знаю как помочь вам.
Пренцесса Раденитта;Муск! Не перечь мне, я уже все придумала! Хоть ты и не так давно в страже, но мне больше не к кому обратиться. Большинство мышей в нашем замке заболели!
Муск;Но что, если я тоже заболею? Какие симптомы у этой болезни?
Пренцесса Раденитта;Сначала, ты начинаешь чихать. Потом ты перестаешь различать цвета. Следом у тебя начнут слезиться глаза. И последняя стадия… ты теряешь запах. Когда все стадии проявятся, болезнь сгубит тебя на исходе дня.
Муск;Получается, находиться здесь… уже опасно для меня.
Пренцесса Раденитта;Не говори глупости! Апчхи! Я же не больна
Пренцесса Раденитта;И тем не менее, у меня есть для тебя опасное задание. Я прочитала в библиотеке, что лекарство уже было найдено.
Муск;Отличная новость!
Пренцесса Раденитта;Плохая новость в том, что лекарство храниться у мудрого старца, что живет в дупле на дереве. Его уже давно никто не видел, но я думаю, что он еще жив.
Муск;Как же я его найду? А если он умер?
Пренцесса Раденитта;Апчхи! Я расскажу как до него добраться. А если он уже погиб, то порсто забери то, что нужно из его библиотеки.
Муск;Я покрадусь туда, даже если он жив. В моей деревне, я был чемпионом по пряткам! Я прятался так хорошо, что все забывали о моем существании. 
Пренцесса Раденитта;Хорошо… Я дам тебе наши фамильные часы, чтобы ты мог следить за временем. К сожалению, у тебя есть всего один день.
Муск;Я вас понял принцесса! Я не подведу вас! Принесу, все что нужно для лекарства!
Пренцесса Раденитта;Мы все надеемся на тебя!
Рассказчик;Герой отправился в путешествие. Он взял все, что могло ему помочь. Шпага, которая осталась ему от отца и часы, которые доверила ему принцесса.
Рассказчик;описание леса
Рассказчик;Путь до дупла в котором жил филин был недолгим и легким. Как только он оказался у входа в логово Мус понял, что самая легкая часть пути позади. 
Рассказчик;Он сверился с часами. Они тихонько тикали, показывая, что время неумолимо движется вперед.
Рассказчик;Описание дерева, на котором живет филин.
Рассказчик;Описание логова филина.
Рассказчик;Шаг, шаг, еще десяток. И вот оказавшись посреди комнаты Мус почувствовал мурашки по своей шерстке. Кто-то следил за ним.
Рассказчик;Два огромных глаза появились из темноты. В голове Муса стали пролетать картины того как он гибнет в клюве у филина. Он замер на месте.
Филин Нус;КТО вторгся в мои владения?
Муск;Я-я… отважный Мус! Я пришел за рецептом, говорят, что здесь живет мудрый и суровый (имя).
Филин Нус;Я мудр - это правда! Но кто ты, отважный Мусс! Я слышу странный тик, который меня разбудил.
Муск;Я… э-э кукушка.
Рассказчик;Филин взмахивает крыльями и выходит из темноты своего логова.
Муск;Апчхи! Как у тебя пыльно.
Филин Нус;Я давно не выхожу из логова и давно лишен зрения, чтобы читать все эти книги.
Муск;Тогда как же ты отдашь мне рецепт лекарства?
Филин Нус;Почему же я должен отдавать что-то такому врунишке как ты, Отважный Муск?
Муск;Я не лжец! Я просто не хотел, чтобы ты меня ел.
Филин Нус;Если ты думаешь, что ты самый умный и отважный? Что ж, тогда выполни мою просьбу и получишь, то зачем пришел.
Муск;К-какую просьбу?
Филин Нус;Я люблю рассказывать истории и загадывать загадки. Так подойди же к моему уху поближе и скажи, что ты выберешь?
Рассказчик;Выбор игрока Распишу на смерть и сказки позже, пока по хорошей концовке пойду.
