Муск;Я тороплюсь, так что давай свои загадки.
Филин Нус;Хорошо вот первая. Накорми меня - я стану больше. Напои меня - я погибну.
Муск;Темно у тебя тут. Хм… Точно! Огонь!
Филин Нус;Хм, првильно... Ну что ж вот вторая! Весной оживает, осенью умирает.
Муск;Звучит грустно… Деревья? Лес!
Филин Нус;Последняя и самая сложная. Все кто ответил давал неверный ответ, больше никогда не ошибались. Что есть величайшая музыка жизни?
Муск;Тишина, брат мой… *остановить часы*
Филин Нус;П-почему ты так ответил?
Муск;Не знаю, первое что пришло в голову. Так это верный ответ?
Филин Нус;Да… как тихо, приятные объятия тишины. Список ингредиентов на полке справа от входа.
Муск;Ингредиентов? Я думал ты дашь мне лекарство!
Филин Нус;Бери пока я не передумал.
Муск;Хорошо. Но что здесь написано? Я не умею читать.
Филин Нус;Насколько я помню, там есть элюстрации. Да и поздно уже, спать пора.
Муск;Так. Глазки ласки… Яд змеи и… Это что? Еж?
Рассказчик;Филин ничего не ответил. Его слепые глаза еще какое-то время таращились на Муска. 
Рассказчик;Но когда веки закрылись, герой понял, что филин уснул. Выйдя из логова Нуса, Муск снова завел часы и понял, что ему нужно спешить.
Рассказчик;Следующей на его пути была обитель ласки.
Рассказчик;Описание сада ласки
Ласка Дуби;Кто зашел в мои владения? 
Муск;Я отважный Муск! И пришел за твоими глазами зверь!
Ласка Дуби;Ужас! Какой кошмар!. Нет-нет, так быть не должно, это какая-то ошибка!
Муск;Здесь нет никакой ошибки. В свитке четко указаны глазки ласки.
Ласка Дуби;Что за свиток? У тебя там какой-то рецепт? Дай посмотрю!
Рассказчик;Ласка приближается наклоняя голову ближе к Муску. 
